#	Date	LTP	% Change	High	Low	Open	Qty.	Turnover
1601	2016/02/07	726.00	0	740.00	722.00	726.00	12,458	9,066,371.00
1602	2016/02/04	726.00	0.14	735.00	724.00	730.00	14,681	10,692,656.00
1603	2016/02/03	725.00	0.28	750.00	725.00	723.00	27,172	19,792,644.00
1604	2016/02/02	723.00	0.28	740.00	720.00	734.00	29,888	21,709,424.00
1605	2016/02/01	721.00	1.69	726.00	710.00	709.00	10,652	7,668,292.00
1606	2016/01/31	709.00	-0.14	710.00	700.00	710.00	3,143	2,223,844.00
1607	2016/01/28	710.00	-0.28	711.00	707.00	710.00	8,349	5,918,068.00
1608	2016/01/27	712.00	-1.11	720.00	710.00	720.00	4,489	3,199,400.00
1609	2016/01/26	720.00	0	724.00	715.00	720.00	11,030	7,932,704.00
1610	2016/01/25	720.00	0	730.00	715.00	723.00	14,597	10,527,478.00
1611	2016/01/24	720.00	0.84	724.00	715.00	714.00	9,158	6,571,880.00
1612	2016/01/21	714.00	-0.14	717.00	711.00	715.00	8,086	5,769,334.00
1613	2016/01/20	715.00	-1.79	720.00	715.00	715.00	4,750	3,407,020.00
1614	2016/01/19	728.00	0.55	728.00	718.00	718.00	4,087	2,946,193.00
1615	2016/01/18	724.00	-0.69	765.00	715.00	743.00	9,066	6,617,424.00
1616	2016/01/17	715.00	1.42	720.00	705.00	705.00	5,870	4,596,292.00
1617	2016/01/14	705.00	-0.14	708.00	700.00	705.00	4,225	2,977,173.00
1618	2016/01/13	706.00	-1.81	715.00	706.00	719.00	1,880	1,340,129.00
1619	2016/01/12	719.00	2.71	719.00	699.00	700.00	12,534	8,781,209.00
1620	2016/01/11	700.00	0	705.00	695.00	695.00	6,752	4,714,991.00
1621	2016/01/10	700.00	-2.37	725.00	700.00	717.00	7,483	5,298,280.00
1622	2016/01/07	997.00	-0.2	1,010.00	991.00	1,000.00	101,756	101,660,501.00
1623	2016/01/06	999.00	0	1,007.00	995.00	1,000.00	54,491	54,470,778.00
1624	2016/01/05	999.00	-1.28	1,012.00	999.00	1,012.00	42,311	42,536,237.00
1625	2016/01/04	1,012.00	-0.2	1,034.00	1,010.00	1,014.00	41,061	41,629,557.00
1626	2016/01/03	1,014.00	1.5	1,021.00	1,000.00	1,010.00	50,335	50,731,985.00
1627	2015/12/31	999.00	-0.7	1,015.00	999.00	1,002.00	34,876	34,953,821.00
1628	2015/12/29	1,006.00	0.6	1,008.00	998.00	1,000.00	22,015	22,075,567.00
1629	2015/12/28	1,000.00	-1.86	1,017.00	1,000.00	1,019.00	30,514	30,766,068.00
1630	2015/12/27	1,019.00	0.69	1,024.00	1,012.00	1,012.00	22,998	23,405,981.00
1631	2015/12/24	1,012.00	0.4	1,019.00	1,002.00	1,005.00	34,569	34,941,044.00
1632	2015/12/23	1,008.00	-2.04	1,036.00	1,006.00	1,029.00	54,700	55,607,734.00
1633	2015/12/22	1,029.00	-2.19	1,157.00	1,021.00	1,073.00	119,750	125,533,071.00
1634	2015/12/21	1,052.00	9.93	1,052.00	976.00	957.00	93,168	98,009,336.00
1635	2015/12/20	957.00	4.59	957.00	901.00	915.00	30,396	28,344,515.00
1636	2015/12/17	915.00	0.88	915.00	901.00	906.00	17,448	15,823,424.00
1637	2015/12/16	907.00	-0.87	918.00	900.00	915.00	9,714	8,818,848.00
1638	2015/12/15	914.00	0.88	921.00	910.00	910.00	13,654	12,496,184.00
1639	2015/12/14	907.00	-1.41	916.00	902.00	910.00	12,553	11,413,911.00
1640	2015/12/13	920.00	-2.02	960.00	910.00	957.00	19,927	18,587,014.00
1641	2015/12/10	939.00	2.07	940.00	920.00	928.00	54,716	50,912,625.00
1642	2015/12/09	920.00	1.88	923.00	905.00	915.00	33,780	30,823,180.00
1643	2015/12/08	903.00	1.23	905.00	875.00	890.00	21,148	18,737,938.00
1644	2015/12/07	892.00	0.9	895.00	875.00	889.00	24,009	21,255,467.00
1645	2015/12/06	884.00	5.49	884.00	851.00	854.00	23,660	20,478,586.00
1646	2015/12/03	838.00	2.44	850.00	815.00	815.00	16,673	13,891,149.00
1647	2015/12/02	820.00	-2.39	840.00	802.00	840.00	7,157	5,878,330.00
1648	2015/12/01	838.00	4.75	840.00	810.00	800.00	6,761	5,631,147.00
1649	2015/11/30	800.00	1.65	808.00	787.00	795.00	11,386	9,091,296.00
1650	2015/11/29	787.00	-3.44	814.00	787.00	814.00	10,979	8,708,352.00
1651	2015/11/26	815.00	-2.4	824.00	801.00	820.00	15,623	12,642,393.00
1652	2015/11/25	834.00	0	835.00	822.00	822.00	6,702	5,563,750.00
1653	2015/11/24	835.00	-0.6	835.00	824.00	830.00	13,585	11,284,800.00
1654	2015/11/23	839.00	0.12	840.00	817.00	825.00	13,496	11,181,445.00
1655	2015/11/22	839.00	-3.67	855.00	839.00	855.00	9,270	7,827,584.00
1656	2015/11/19	871.00	-0.46	874.00	857.00	858.00	3,183	2,762,789.00
1657	2015/11/18	875.00	1.74	880.00	870.00	877.00	5,915	5,177,509.00
1658	2015/11/16	860.00	-1.6	865.00	851.00	857.00	6,603	5,671,349.00
1659	2015/11/15	874.00	-1.69	874.00	860.00	872.00	3,025	2,627,063.00
1660	2015/11/10	889.00	-0.56	891.00	875.00	882.00	8,335	7,369,750.00
